name,calories,ingredients,preptime,cooktime,difficulty,rating,instruction,dietary
Hummingbird Cake,642,"3 cups all-purpose flour 
1 teaspoon baking soda
1 teaspoon salt
2 cups sugar 
1 teaspoon ground cinnamon
3 large eggs, beaten 
1 cup vegetable oil 
1 1/2 teaspoons vanilla extract
1 (8-ounce) can crushed pineapple, undrained
1 cup chopped pecans
2 cups chopped bananas 
Cream Cheese Frosting
1/2 cup chopped pecans",00:35:00,00:40:00,3,5,"Combine first 5 ingredients in a large bowl; add eggs and oil, stirring until dry ingredients are moistened. (Do not beat.) Stir in vanilla, pineapple, 1 cup pecans, and bananas.
Pour batter into three greased and floured 9-inch round cakepans. Bake at 350�� for 25 to 30 minutes or until a wooden pick inserted in center comes out clean. Cool in pans on wire racks 10 minutes; remove from pans, and cool completely on wire racks.
Spread Cream Cheese Frosting between layers and on top and sides of cake; sprinkle 1/2 cup chopped pecans on top. Store in refrigerator.",
Chocolate-Mint Chip Ice Cream Sandwiches,373,"1/2 cup all-purpose flour 
1/4 cup unsweetened cocoa powder
1/4 teaspoon baking soda
1/4 teaspoon salt
4 ounces bittersweet chocolate, chopped
4 tablespoons unsalted butter
3/4 cup packed light brown sugar
1 large egg 
1/2 teaspoon vanilla extract
1/4 cup chocolate chips 
3 tablespoons sugar 
1 pint mint chocolate chip ice cream",00:15:00,00:15:00,3,3,"1. Preheat oven to 325��F. Line 2 rimmed baking sheets with parchment. In a medium bowl, whisk together flour, cocoa, baking soda and salt.
2. Melt chocolate and butter in a double boiler set over simmering water, stirring occasionally. Remove from heat and let cool slightly. Combine chocolate mixture, brown sugar, egg and vanilla in a large bowl and beat until mixture is well combined. Gradually stir flour mixture into chocolate mixture. Add chips.
3. Roll ""dough"" into 16 1 1/2-inch balls, then roll each in sugar. Transfer dough balls to baking sheets, and bake until cookies are puffed and lightly browned, 12 to 15 minutes. Transfer cookies to wire rack and let cool. Repeat with remaining dough.
4. Arrange 12 cookies bottom side up and top each with a small scoop of ice cream. Top with a second cookie, bottom side down, pressing together slightly. Wrap each in plastic and freeze until firm, about 1 hour.",
Peach Upside-Down Cake III,137," 6 large fresh peaches
 2/3 cup white sugar
 2 tablespoons unsalted butter
 1 cup all-purpose flour
 1 teaspoon baking powder
 1/2 teaspoon baking soda
 1/2 teaspoon ground cinnamon
 1/4 teaspoon salt
 1 tablespoon canola oil
 1 egg
 1 teaspoon vanilla extract
 1 teaspoon almond extract
1/2 cup lowfat buttermilk",00:30:00,00:20:00,2,4,"Preheat the oven to 375 degrees. Bring a large saucepan of water to a boil.
Score the stem end of each peach and place the peaches in the boiling water. Boil for about 1 minute, or until the skins soften. Transfer to a bowl of cold water to cool, then peel, halve and pit the peaches.
In a 9-inch cast-iron skillet, combine 1/3 cup of the sugar with 1 tablespoon of the butter. Cook over medium heat for 3 to 5 minutes, or until the sugar begins to melt. Add the peaches to the skillet, cut-side up, in one layer (the fruit should fit tightly). Remove the pan from the heat and set aside.
In a medium bowl, combine the flour, baking powder, baking soda, cinnamon and salt; set aside.
In a large bowl, with an electric mixer at medium speed, beat the remaining 1/3 cup sugar and 1 tablespoon butter with the oil until combined. Add the egg, beating until smooth, then beat in the vanilla and almond extract. With the mixer at low speed, add the buttermilk and the reserved flour mixture, beating until just incorporated.
Spoon the batter evenly over the peaches in the skillet, place the skillet in the oven and bake, uncovered, at 375 degrees F (190 degrees C), for 20 to 25 minutes, or until a cake tester inserted into the center of the cake comes out clean.
Transfer the skillet to a wire rack to cool for 3 to 4 minutes. Loosen the edges of the cake with a knife. Invert the cake onto a serving plate. If any of the peaches stick to the skillet, remove them with a knife and replace them on the cake.",
Amaretto Apple Streusel Cupcakes,256,"Cooking spray
6.75 ounces all-purpose flour (about 1 1/2 cups) 
1/2 teaspoon baking powder
1/4 teaspoon salt
1/4 teaspoon baking soda
3/4 cup granulated sugar 
1/4 cup (2 ounces) 1/3-less-fat cream cheese, softened 
1/4 cup butter, softened 
2 tablespoons amaretto (almond-flavored liqueur)
1 teaspoon vanilla extract
1 large egg 
1/2 cup reduced-fat sour cream 
1/4 cup 2% reduced-fat milk 
3/4 cup finely chopped Gala apple 
1 tablespoon all-purpose flour 
Streusel:
2 tablespoons all-purpose flour 
2 tablespoons brown sugar
1/4 teaspoon ground cinnamon
2 tablespoons butter, chilled 
2 tablespoons sliced almonds
Glaze:
1 cup powdered sugar
4 teaspoons 2% reduced-fat milk ",0:30:00,0:45:00,3,4,"1. Preheat oven to 350��.
2. Place muffin cup liners in 12 muffin cups; coat with cooking spray.
3. Weigh or lightly spoon 6.75 ounces (about 1 1/2 cups) flour into dry measuring cups; level with a knife. Combine 6.75 ounces flour, baking powder, salt, and baking soda in a small bowl, stirring with a whisk. Combine granulated sugar, cream cheese, and 1/4 cup butter in a large bowl; beat with a mixer at high speed until well blended. Add amaretto, vanilla, and egg to sugar mixture; beat with a mixer at medium speed until well blended. Combine sour cream and 1/4 cup milk in a small bowl; stir with a whisk until well blended. Combine apple and 1 tablespoon flour in a small bowl; toss well.
4. Add flour mixture and sour cream mixture alternately to sugar mixture, beginning and ending with flour mixture. Beat just until blended. Fold in apple mixture. Divide batter evenly among muffin cups.
5. To prepare the streusel, combine 2 tablespoons flour, brown sugar, and ground cinnamon in a small bowl. Cut in 2 tablespoons butter with a pastry blender or 2 knives until mixture resembles coarse meal; stir in almonds. Sprinkle streusel evenly over cupcakes. Bake at 350�� for 27 minutes or until a wooden pick inserted in center comes out clean. Cool in pan for 15 minutes on a wire rack, and remove the cupcakes from pan.
6. To prepare glaze, combine powdered sugar and 4 teaspoons milk in a small bowl, stirring with a whisk. Drizzle glaze over cupcakes.
Note:
If you don't want to use the amaretto, replace it with 1/2 teaspoon almond extract.",
Authentic French Meringues,31,"4 egg whites
2 1/4 cups confectioners' sugar",00:20:00,03:00:00,1,4,"Preheat the oven to 200 degrees F (95 degrees C). Butter and flour a baking sheet.
In a glass or metal bowl, whip egg whites until foamy using an electric mixer. Sprinkle in sugar a little at a time, while continuing to whip at medium speed. When the mixture becomes stiff and shiny like satin, stop mixing, and transfer the mixture to a large pastry bag. Pipe the meringue out onto the prepared baking sheet using a large round tip or star tip.
Place the meringues in the oven and place a wooden spoon handle in the door to keep it from closing all the way. Bake for 3 hours, or until the meringues are dry, and can easily be removed from the pan. Allow cookies to cool completely before storing in an airtight container at room temperature.",
Milk Cake,254,"4 eggs
2 cups sugar
1 teaspoon vanilla extract
2-1/4 cups all-purpose flour
2-1/4 teaspoons baking powder
1-1/4 cups 2% milk
10 tablespoons butter, cubed",00:20:00,00:30:00,1,4,"1.In a large bowl, beat eggs on high speed for 5 minutes or until thick and lemon-colored. Gradually add sugar, beating until mixture is light and fluffy. Beat in vanilla. Combine flour and baking powder; gradually add to batter; beat at low speed until smooth.
2.In a small saucepan, heat milk and butter just until butter is melted. Gradually add to batter; beat just until combined.
3.Pour into a greased 13-in. x 9-in. baking pan. Bake at 350�� for 30-35 minutes or until a toothpick inserted near the center comes out clean. Cool on a wire rack. Yield: 12-16 servings.",
Overnight Cinnamon Wreaths ,281,"2 packages (1/4 ounce each) active dry yeast
1-1/2 cups warm water (110�� to 115��)
2 eggs
1/2 cup butter, softened
1/2 cup sugar
2 teaspoons salt
5-3/4 to 6-1/4 cups all-purpose flour
FILLING:
1 cup packed brown sugar
4 teaspoons ground cinnamon
1/2 cup softened butter, divided
EGG WASH:
1 egg
2 teaspoons water
GLAZE:
2 cups confectioners' sugar
1/4 cup half-and-half cream
2 teaspoons vanilla extract",00:35:00,00:20:00,3,5,"1. In a small bowl, dissolve yeast in warm water. In a large bowl, combine eggs, butter, sugar, salt, yeast mixture and 3 cups flour; beat on medium speed until smooth. Stir in enough remaining flour to form a very soft dough (dough will be sticky). Do not knead. Cover with plastic wrap; refrigerate overnight.
2. In a small bowl, mix brown sugar and cinnamon. Turn onto a floured surface; divide dough in half. Roll one portion into a 16x12-in. rectangle. Spread with 1/4 cup butter to within 1/2 in. of edges; sprinkle evenly with half of the brown sugar mixture.
3. Roll up jelly-roll style, starting with a long side; pinch seam to seal. Transfer to a parchment paper-lined 12-in. pizza pan or 15x10x1-in. baking pan, seam side down. Shape into a ring; pinch ends together to seal. (Filling may leak slightly during baking; be sure to use a rimmed baking pan.)
4. Using kitchen scissors, start at outside edge and cut two-thirds of the way through the ring at 1-in. intervals. Separate sections slightly and twist to show filling. Repeat with remaining dough and filling.
5. Cover with kitchen towels; let rise in a warm place until almost doubled, about 1 hour. Preheat oven to 375��.
6. For egg wash, in a small bowl, whisk egg and water until blended; brush over wreaths. Bake 18-22 minutes or until golden brown.
7. For glaze, in a small bowl, mix confectioners' sugar, cream and vanilla. Spread over wreaths. Yield: 2 wreaths (12 slices each).",
PHILADELPHIA-Oreo No-Bake Cheesecake,410,"36 OREO�� Cookies, divided
1/4 cup butter, melted
4 packages (8 ounces each) PHILADELPHIA�� Cream Cheese, softened
3/4 cup sugar
1 teaspoon vanilla extract
1 tub (8 ounces) COOL WHIP�� Whipped Topping, thawed",00:15:00,04:00:00,3,4,"1. CHOP 15 cookies coarsely. Finely crush remaining cookies; mix with butter. Press onto bottom of 13x9-inch pan. Refrigerate while preparing filling.
2. BEAT cream cheese, sugar and vanilla in large bowl with mixer until blended. Gently stir in COOL WHIP and chopped cookies; spread onto crust.
3. REFRIGERATE 4 hours or until firm. Yield: 16 servings.
HOW TO EASILY REMOVE CHEESECAKE FROM A PAN TO SERVE: Line pan with foil, with ends of foil extending over sides before using to prepare cheesecake as directed. Use foil handles to lift chilled cheesecake from pan before cutting to serve.",
Caramel Apple Creme Brulee,504,"3 medium tart apples, peeled and thinly sliced
6 tablespoons caramel ice cream topping
1/4 cup plus 2 tablespoons sugar, divided
1/4 cup plus 2 tablespoons packed brown sugar, divided
1/2 teaspoon ground cinnamon
2 cups heavy whipping cream
5 egg yolks, beaten
1 teaspoon vanilla extract",00:35:00,00:25:00,2,5,"1. Place apples in a microwave-safe dish; cover with water. Cover and microwave on high for 3-4 minutes or until tender; drain well. Arrange apples in the bottoms of six 6-oz. ramekins or custard cups. Top with caramel topping; set aside.
2. In a small saucepan, combine 1/4 cup sugar, 1/4 cup brown sugar and cinnamon; stir in cream. Heat over medium heat until bubbles form around sides of pan. Remove from the heat; stir a small amount of hot mixture into the egg yolks. Return all to the pan, stirring constantly. Stir in vanilla.
3. Pour into prepared ramekins. Place ramekins in a baking pan; add 1 in. of boiling water to pan. Bake, uncovered, at 325�� for 25-30 minutes or until centers are just set (mixture will jiggle). Remove ramekins from water bath; cool for 10 minutes. Cover and refrigerate overnight.
4. If using a creme brulee torch, combine the remaining sugars and sprinkle evenly over custards. Heat sugar with the torch until caramelized. Serve immediately.
5. If broiling the custards, place ramekins on a baking sheet; let stand at room temperature for 15 minutes. Combine remaining sugars; sprinkle over custards. Broil 8 in. from the heat for 4-7 minutes or until sugar is caramelized. Refrigerate for 1-2 hours or until firm. Yield: 6 servings.
",
Strawberry-Raspberry Sundaes,130,"1 cup strawberries, plus more for garnish
1/2 cup raspberries, plus more for garnish
2 tablespoons sugar
1/2 teaspoon lemon juice
2 cups nonfat vanilla frozen yogurt",00:10:00,00:00:00,1,5,,
